Date,long_ret,short_ret,cum_ret,equity,drawdown,long_pnl,short_pnl
2025-08-22,0.004860514778853198,0.0050127790235554885,0.009873293802408686,0.86007314247439,-0.09627023666720402,1.0379229428285863,0.8179367448863352
2025-08-25,0.012600564367555744,-0.012058087145120676,0.0005424772224350682,0.8605397125638107,-0.09577998385535924,1.0510013576782609,0.8080739923372994
2025-08-26,6.518994617217536e-05,0.00035626790973757315,0.00042145785590974854,0.8609023937859931,-0.09539889322608419,1.0510698724001948,0.8083618831694627
2025-08-27,0.02034198717064537,-0.007186687761158027,0.013155299409487346,0.8722278225385923,-0.08349859482031952,1.0724507222600115,0.802552438717102
2025-08-28,-0.009424192570457362,0.005599853269521378,-0.003824339300935983,0.8688921273974882,-0.08700360716351119,1.062343740131107,0.8070466146150144
2025-08-29,0.010863425450980834,-0.0041486840899645425,0.006714741361016291,0.8747265133035855,-0.08087307252207332,1.0738844321553374,0.8036984331651014
2025-09-01,0.0003022352507658751,-0.009558303293035909,-0.009256068042270034,0.8666299851780699,-0.08756234506811245,1.0742089978859832,0.7960164397847717
2025-09-02,0.003229350735121904,6.951826537185646e-05,0.0032988690004937607,0.8694888839710723,-0.0791440761528619,1.077677995502981,0.796071777466873
2025-09-03,-0.005086706062756492,0.004741327199425134,-0.00034537886333135814,0.869188580888647,-0.0794139058457275,1.0721961643095566,0.7998462142380715
2025-09-04,0.0075930495546222936,-0.0022066557610427844,0.005386393793579509,0.8738703728661957,-0.07445526662171942,1.080337402917435,0.7980812289814748
2025-09-05,0.004386112676069969,-0.00831862565091163,-0.0039325129748416605,0.8704338662865697,-0.0780949832945258,1.0850758844948039,0.7914422899985584
2025-09-08,0.008356270704609635,-0.0029395642932001265,0.005416706411409509,0.8751487509907921,-0.07310129447982672,1.0941430723206862,0.7891157945027502
2025-09-09,-0.002346965702485924,0.0013656573331828938,-0.0009813083693030302,0.8742899601970598,-0.07203148441050577,1.091575156056337,0.7901934562742432
2025-09-10,-0.009797101828462563,0.0020882762253357644,-0.007708825603126799,0.867550211367336,-0.07918503186237769,1.080880883099033,0.7918435984823966
2025-09-11,-0.0009944580861803404,-0.004933841429551141,-0.0059282995157314815,0.8624071138694143,-0.08464389879206624,1.0798059923646375,0.7879367677304793
2025-09-12,0.005542873395314495,-0.009076360232003299,-0.003533486836688804,0.85935980968469,-0.08787829752656717,1.0857912202718165,0.7807851697865171
2025-09-15,0.008104544697327189,-0.0023708009791596433,0.005733743718167546,0.8642871585951152,-0.08264842544480588,1.0945910637484748,0.778934083541474
2025-09-16,0.009079994118365117,-0.007477047026982187,0.0016029470913829303,0.8656725651821049,-0.081177959406597,1.104529944169326,0.7731099567679152
2025-09-17,0.0017489960946625329,0.005437311566592227,0.0071863076612547604,0.8718935545694112,-0.07457502153695084,1.106461762728116,0.777313596478097
2025-09-18,0.002996473664263423,-0.0015528487070698197,0.0014436249571936031,0.8731522418648039,-0.07213276310932937,1.1097772462606452,0.7761065460648181
2025-09-19,0.006872225458181405,-0.0035045318473680815,0.0033676936108133237,0.8760927510909994,-0.06900799054396967,1.1174038857053081,0.7733866559571831
2025-09-22,0.0038099796817965977,-0.00598290931300621,-0.0021729296312096124,0.8741890631924658,-0.06823898558156383,1.121661171806206,0.7687595537307023
2025-09-23,0.003547871217280925,-0.005198142589518439,-0.0016502713722375134,0.8727464140075561,-0.06977664410942563,1.1256406811931987,0.7647634319533555
2025-09-24,-0.00019092449314550724,0.001793005135963404,0.0016020806428178969,0.8741446241435263,-0.06828635127745619,1.125425768816678,0.7661346567146449
